dt,compared_uid_mode_keys,mismatch_uid_mode_keys,missing_target_keys,extra_target_keys,duplicate_target_keys,target_null_field_keys,invalid_bomb_rows
2026-03-01,43792,24261,0,0,0,0,0
2026-03-02,42758,23754,0,0,0,0,0
2026-03-03,41791,23451,0,0,0,0,0
2026-03-04,41812,23259,0,0,0,0,0
2026-03-05,42441,23552,0,0,0,0,0
2026-03-06,41955,23346,0,0,0,0,0
2026-03-07,41227,23250,0,0,0,0,0
2026-03-08,42199,23434,0,0,0,0,0
2026-03-09,42311,23503,0,0,0,0,0
2026-03-10,41569,22897,0,0,0,0,0
2026-03-11,41876,22927,0,0,0,0,0
2026-03-12,42767,22964,0,0,0,0,0
2026-03-13,42469,22490,0,0,0,0,0
2026-03-14,42704,22982,0,0,0,0,0
2026-03-15,43408,23366,0,0,0,0,0
2026-03-16,43780,23389,0,0,0,0,0
2026-03-17,43942,23596,0,0,0,0,0
2026-03-18,44607,24116,0,0,0,0,0
2026-03-19,43382,23307,0,0,0,0,0
2026-03-20,43288,23283,0,0,0,0,0
2026-03-21,42853,23185,0,0,0,0,0
2026-03-22,43311,23228,0,0,0,0,0
2026-03-23,44122,23593,0,0,0,0,0
2026-03-24,44106,23732,0,0,0,0,0
2026-03-25,43246,23334,0,0,0,0,0
2026-03-26,43340,35081,0,0,0,0,0
2026-03-27,43506,36496,0,0,0,0,0
2026-03-28,42547,35644,0,0,0,0,0
2026-03-29,43739,36828,0,0,0,0,0
2026-03-30,44070,37090,0,0,0,0,0
2026-03-31,43362,36468,0,0,0,0,0
2026-04-01,42212,35428,0,0,0,0,0
2026-04-02,42277,24661,0,0,0,0,0
2026-04-03,43728,24161,0,0,0,0,0
2026-04-04,41571,22495,0,0,0,0,0
2026-04-05,41828,22867,0,0,0,0,0
2026-04-06,42616,23102,0,0,0,0,0
2026-04-07,42290,22802,0,0,0,0,0
2026-04-08,42824,23015,0,0,0,0,0
2026-04-09,44070,24007,0,0,0,0,0
2026-04-10,43337,23308,0,0,0,0,0
2026-04-11,42297,22787,0,0,0,0,0
2026-04-12,43806,23578,0,0,0,0,0
2026-04-13,43751,23482,0,0,0,0,0
2026-04-14,43664,23738,0,0,0,0,0
2026-04-15,43268,23680,0,0,0,0,0
2026-04-16,44241,24937,0,0,0,0,0
2026-04-17,43615,24809,0,0,0,0,0
2026-04-18,43101,24283,0,0,0,0,0
2026-04-19,43864,24948,0,0,0,0,0
2026-04-20,44451,24701,0,0,0,0,0
2026-04-21,45792,25343,0,0,0,0,0
2026-04-22,45580,25322,0,0,0,0,0
2026-04-23,44686,24733,0,0,0,0,0
2026-04-24,43916,24190,0,0,0,0,0
2026-04-25,43598,23898,0,0,0,0,0
2026-04-26,44591,24422,0,0,0,0,0
2026-04-27,44776,24613,0,0,0,0,0
2026-04-28,45680,25144,0,0,0,0,0
2026-04-29,45153,25028,0,0,0,0,0
2026-04-30,43546,24096,0,0,0,0,0
2026-05-01,43178,23998,0,0,0,0,0
2026-05-02,43900,24656,0,0,0,0,0
2026-05-03,44243,24560,0,0,0,0,0
2026-05-04,43948,24206,0,0,0,0,0
2026-05-05,44443,24441,0,0,0,0,0
2026-05-06,44470,24835,0,0,0,0,0
2026-05-07,44148,24589,0,0,0,0,0
2026-05-08,44077,24351,0,0,0,0,0
2026-05-09,43906,24403,0,0,0,0,0
2026-05-10,43855,24180,0,0,0,0,0
2026-05-11,43713,24089,0,0,0,0,0
2026-05-12,44276,24358,0,0,0,0,0
2026-05-13,44198,24580,0,0,0,0,0
2026-05-14,44325,24655,0,0,0,0,0
2026-05-15,44799,24800,0,0,0,0,0
2026-05-16,45012,24881,0,0,0,0,0
2026-05-17,45016,24890,0,0,0,0,0
2026-05-18,45024,24883,0,0,0,0,0
2026-05-19,45468,25108,0,0,0,0,0
2026-05-20,45051,24985,0,0,0,0,0
2026-05-21,44794,24904,0,0,0,0,0
2026-05-22,45367,25343,0,0,0,0,0
2026-05-23,44777,24541,0,0,0,0,0
2026-05-24,45652,25238,0,0,0,0,0
2026-05-25,45078,24880,0,0,0,0,0
2026-05-26,45140,25063,0,0,0,0,0
2026-05-27,44742,24992,0,0,0,0,0
2026-05-28,44427,24677,0,0,0,0,0
2026-05-29,44287,24417,0,0,0,0,0
2026-05-30,43658,24264,0,0,0,0,0
2026-05-31,43876,24325,0,0,0,0,0
2026-06-01,43788,24442,0,0,0,0,0
2026-06-02,45230,25003,0,0,0,0,0
2026-06-03,45366,25108,0,0,0,0,0
2026-06-04,44809,24552,0,0,0,0,0
2026-06-05,45067,24969,0,0,0,0,0
2026-06-06,45367,24915,0,0,0,0,0
2026-06-07,45934,25358,0,0,0,0,0
2026-06-08,45698,25136,0,0,0,0,0
2026-06-09,45788,25227,0,0,0,0,0
2026-06-10,44598,24788,0,0,0,0,0
2026-06-11,44548,24695,0,0,0,0,0
2026-06-12,44922,25095,0,0,0,0,0
2026-06-13,45606,25181,0,0,0,0,0
2026-06-14,45485,25166,0,0,0,0,0
2026-06-15,45786,25173,0,0,0,0,0
2026-06-16,45643,25271,0,0,0,0,0
2026-06-17,45187,24980,0,0,0,0,0
2026-06-18,45436,25318,0,0,0,0,0
2026-06-19,45784,25362,0,0,0,0,0
2026-06-20,45726,25468,0,0,0,0,0
2026-06-21,45801,25400,0,0,0,0,0
2026-06-22,46067,25427,0,0,0,0,0
2026-06-23,46483,25757,0,0,0,0,0
2026-06-24,45971,25699,0,0,0,0,0
2026-06-25,45339,24860,0,0,0,0,0
2026-06-26,44952,24809,0,0,0,0,0
2026-06-27,45037,24732,0,0,0,0,0
2026-06-28,45597,25276,0,0,0,0,0
2026-06-29,45866,25218,0,0,0,0,0
2026-06-30,46149,25481,0,0,0,0,0
2026-07-01,45905,25251,0,0,0,0,0
2026-07-02,46048,25358,0,0,0,0,0
2026-07-03,45801,25334,0,0,0,0,0
2026-07-04,45682,25298,0,0,0,0,0
2026-07-05,46065,25313,0,0,0,0,0
2026-07-06,45938,25318,0,0,0,0,0
2026-07-07,45968,25335,0,0,0,0,0
2026-07-08,45027,25322,0,0,0,0,0
2026-07-09,45855,25182,0,0,0,0,0
2026-07-10,46259,25809,0,0,0,0,0
2026-07-11,46562,26036,0,0,0,0,0
2026-07-12,46806,26125,0,0,0,0,0
2026-07-13,46805,25852,0,0,0,0,0
2026-07-14,46762,25795,0,0,0,0,0
2026-07-15,45959,25444,0,0,0,0,0
2026-07-16,46054,25409,0,0,0,0,0
2026-07-17,46265,25699,0,0,0,0,0
2026-07-18,46052,25352,0,0,0,0,0
2026-07-19,46567,25838,0,0,0,0,0
2026-07-20,46668,25610,0,0,0,0,0
2026-07-21,46867,25877,0,0,0,0,0
2026-07-22,46989,26119,0,0,0,0,0
2026-07-23,47462,26294,0,0,0,0,0
2026-07-24,47249,26318,0,0,0,0,0
2026-07-25,46483,25851,0,0,0,0,0
2026-07-26,46791,26171,0,0,0,0,0
2026-07-27,46606,25561,0,0,0,0,0
2026-07-28,47133,24503,0,0,0,0,0
2026-07-29,45591,24987,0,0,0,0,0
2026-07-30,47617,26294,0,0,0,0,0
2026-07-31,46831,25707,0,0,0,0,0
2026-08-01,45471,25406,0,0,0,0,0
2026-08-02,46038,25725,0,0,0,0,0
2026-08-03,45566,25672,0,0,0,0,0
2026-08-04,45768,25699,0,0,0,0,0
2026-08-05,45746,26056,0,0,0,0,0
2026-08-06,45356,26115,0,0,0,0,0
2026-08-07,45197,25948,0,0,0,0,0
2026-08-08,44412,25568,0,0,0,0,0
2026-08-09,45329,26279,0,0,0,0,0
2026-08-10,44483,25540,0,0,0,0,0
2026-08-11,45055,25696,0,0,0,0,0
2026-08-12,45532,25715,0,0,0,0,0
2026-08-13,45306,26027,0,0,0,0,0
